City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,labuhan,80,ID,1520996785,79,-2.54,115.51,82.88,2.37
1,khatanga,0,RU,1520996785,75,71.98,102.47,-37.27,3.38
2,yellowknife,40,CA,1520992800,68,62.45,-114.38,28.4,8.05
3,hermanus,68,ZA,1520996788,95,-34.42,19.24,60.92,3.83
4,avarua,75,CK,1520996400,69,-21.21,-159.78,82.4,9.17
5,katsuura,20,JP,1520992800,52,33.93,134.5,64.4,5.82
6,eldorado,5,MX,1520995200,56,24.32,-107.36,73.4,3.49
7,provideniya,76,RU,1520996567,100,64.42,-173.23,5.21,15.12
8,ochamchira,68,GE,1520996790,83,42.71,41.47,53.27,9.08
9,hobart,40,AU,1520994600,52,-42.88,147.33,68.0,8.05
10,thompson,5,CA,1520992800,51,55.74,-97.86,37.4,12.75
11,puerto ayora,64,EC,1520996791,100,-0.74,-90.35,77.57,4.05
12,cetraro,90,IT,1520992500,80,39.52,15.94,32.0,20.8
13,takoradi,12,GH,1520996792,100,4.89,-1.75,79.73,6.96
14,jand,80,PK,1520996792,100,33.43,72.02,59.21,3.83
15,longyearbyen,20,NO,1520992200,84,78.22,15.63,5.0,6.93
16,puro,24,PH,1520996793,82,13.13,123.76,81.89,7.96
17,khani,20,GE,1520994600,53,41.96,42.96,50.0,31.09
18,chuy,0,UY,1520996794,68,-33.69,-53.46,68.66,14.67
19,port alfred,68,ZA,1520996546,94,-33.59,26.89,69.56,12.77
20,vaini,24,IN,1520996795,51,15.34,74.49,76.04,4.72
21,port elizabeth,1,US,1520992560,58,39.31,-74.98,37.4,6.93
22,saint-philippe,90,CA,1520995980,93,45.36,-73.48,32.0,14.99
23,qaanaaq,36,GL,1520996797,100,77.48,-69.36,-10.72,1.59
24,alofi,40,NU,1520996400,62,-19.06,-169.92,84.2,13.87
25,constitucion,5,MX,1520995380,32,23.99,-104.67,69.8,11.41
26,kibre mengist,32,ET,1520996798,99,5.87,38.99,56.6,2.26
27,sydney,75,AU,1520994600,65,-33.85,151.22,78.8,8.05
28,iqaluit,90,CA,1520993760,84,63.75,-68.52,-0.41,5.82
29,lorengau,24,PG,1520996799,99,-2.02,147.27,83.51,10.09
30,faanui,44,PF,1520996800,100,-16.48,-151.75,82.34,8.97
31,busselton,32,AU,1520996800,89,-33.64,115.35,73.79,8.19
32,kecel,0,HU,1520993700,86,46.52,19.25,41.0,9.17
33,tiznit,12,MA,1520996801,97,29.7,-9.73,55.61,3.6
34,dikson,48,RU,1520996802,92,73.51,80.55,-4.06,17.58
35,te anau,20,NZ,1520996802,67,-45.41,167.72,57.23,15.79
36,port shepstone,0,ZA,1520996802,88,-30.74,30.45,72.08,16.8
37,biltine,0,TD,1520996803,18,14.53,20.93,69.02,13.67
38,ponta do sol,24,BR,1520996804,90,-20.63,-46.0,67.76,2.15
39,georgetown,0,GY,1520992800,88,6.8,-58.16,75.2,6.93
40,tasiilaq,0,GL,1520992200,47,65.61,-37.64,12.2,1.12
41,pevek,0,RU,1520996806,90,69.7,170.27,-20.62,4.61
42,sumbe,80,AO,1520996806,100,-11.2,13.84,77.39,5.28
43,victoria,75,BN,1520994600,79,5.28,115.24,89.6,2.24
44,bluff,0,AU,1520996808,39,-23.58,149.07,87.74,16.8
45,barrow,0,AR,1520996809,64,-38.31,-60.23,48.32,3.94
46,goiatuba,8,BR,1520996809,88,-18.02,-49.36,70.82,2.93
47,karaton,40,ID,1520994600,79,-6.34,106.1,84.2,6.93
48,butaritari,48,KI,1520996810,99,3.07,172.79,83.51,13.0
49,pangnirtung,64,CA,1520996811,77,66.15,-65.72,4.76,4.5
50,namibe,44,AO,1520996811,100,-15.19,12.15,75.32,0.69
51,mahebourg,75,MU,1520992800,78,-20.41,57.7,80.6,18.34
52,albany,90,US,1520995500,86,42.65,-73.75,30.2,4.27
53,yarmouth,20,GB,1520992200,100,50.71,-1.5,39.2,3.36
54,usinsk,88,RU,1520996813,95,66.0,57.56,16.64,11.32
55,jamestown,8,AU,1520996814,94,-33.21,138.6,68.57,4.5
56,ushuaia,20,AR,1520992800,60,-54.81,-68.31,42.8,8.86
57,banyo,0,CM,1520996815,64,6.75,11.81,66.59,7.96
58,mizan teferi,80,ET,1520996815,85,6.99,35.58,63.17,3.15
59,vostok,80,RU,1520996816,53,46.45,135.83,28.16,1.59
60,ponta delgada,40,PT,1520994600,62,37.73,-25.67,59.0,29.97
61,whitehorse,75,CA,1520992800,48,60.72,-135.06,44.6,8.05
62,mount gambier,92,AU,1520996817,72,-37.83,140.78,65.78,5.06
63,cherskiy,32,RU,1520996817,50,68.75,161.3,-17.02,7.4
64,koshurnikovo,0,RU,1520996818,64,54.3,93.39,6.92,3.15
65,los llanos de aridane,0,ES,1520994600,77,28.66,-17.92,62.6,6.93
66,rikitea,80,PF,1520996819,100,-23.12,-134.97,80.45,5.39
67,conde,88,BR,1520996819,98,-11.81,-37.61,78.65,9.75
68,bethel,20,US,1520992380,92,60.79,-161.76,17.6,6.93
69,metro,68,ID,1520996821,97,-5.11,105.31,81.98,4.16
70,vila franca do campo,40,PT,1520994600,62,37.72,-25.43,59.0,29.97
71,punta arenas,75,CL,1520996400,75,-53.16,-70.91,41.0,6.93
72,airai,92,TL,1520996822,86,-8.93,125.41,75.23,2.37
73,arraial do cabo,64,BR,1520996823,96,-22.97,-42.02,77.84,8.63
74,glazov,80,RU,1520996824,88,58.14,52.65,19.61,18.48
75,barao de melgaco,0,BR,1520996400,94,-16.19,-55.97,80.6,1.12
76,bambous virieux,75,MU,1520992800,78,-20.34,57.76,80.6,18.34
77,lagoa,75,PT,1520994600,93,37.14,-8.45,60.8,13.87
78,chokurdakh,36,RU,1520996826,59,70.62,147.9,-20.35,9.19
79,kutum,0,SD,1520996826,25,14.2,24.66,52.82,8.52
80,bredasdorp,88,ZA,1520992800,82,-34.53,20.04,62.6,2.24
81,saint-joseph,0,FR,1520994600,75,43.56,6.97,48.2,3.36
82,mataura,12,NZ,1520996827,54,-46.19,168.86,65.96,22.28
83,cururupu,100,BR,1520996828,94,-1.82,-44.87,78.02,4.38
84,cape town,40,ZA,1520992800,88,-33.93,18.42,64.4,10.29
85,pangkalanbuun,24,ID,1520996829,96,-2.68,111.62,83.51,3.94
86,kangaatsiaq,68,GL,1520996830,100,68.31,-53.46,13.76,14.34
87,saint george,0,GR,1520992200,62,39.45,22.34,51.8,5.82
88,palu,92,ID,1520996831,82,-0.9,119.87,73.79,1.92
89,pacifica,75,US,1520994900,87,37.61,-122.49,57.2,6.93
90,mangrol,0,IN,1520996832,33,25.33,76.51,72.8,3.15
91,vila velha,40,BR,1520996400,88,-3.71,-38.6,80.6,6.93
92,east london,44,ZA,1520996832,100,-33.02,27.91,70.64,15.12
93,new norfolk,40,AU,1520994600,52,-42.78,147.06,68.0,8.05
94,hue,40,VN,1520994600,83,16.47,107.58,77.0,5.82
95,dombarovskiy,0,RU,1520996834,47,50.76,59.54,-8.02,7.4
96,tuatapere,20,NZ,1520996834,88,-46.13,167.69,60.92,21.5
97,hilo,90,US,1520993040,83,19.71,-155.08,71.6,4.7
98,bowling green,90,US,1520994900,51,36.99,-86.44,41.0,4.7
99,yabrud,0,SY,1520996400,81,33.97,36.66,44.6,6.93
100,buraydah,0,SA,1520992800,48,26.33,43.97,62.6,5.06
101,okhotsk,8,RU,1520996836,100,59.36,143.24,11.24,2.93
102,suclayin,32,PH,1520996836,100,15.76,121.55,77.93,10.2
103,harper,1,US,1520995860,40,30.3,-99.24,57.2,3.36
104,carnarvon,36,ZA,1520996837,53,-30.97,22.13,56.06,2.93
